土地利用_区分,高さ_区分,高さ,土地利用区分_コード,土地利用区分,建物用途_コード,建物用途,割合
1,0,区分無し,201,田（水田）,411,住宅,0.875
1,0,区分無し,201,田（水田）,401,業務施設,0.03125
1,0,区分無し,201,田（水田）,402,商業施設,0.03125
1,0,区分無し,201,田（水田）,412,共同住宅,0.03125
1,0,区分無し,201,田（水田）,431,運輸倉庫施設,0.03125
1,0,区分無し,202,畑（畑、樹園地、採草地、養鶏（牛・豚）場）,411,住宅,0.875
1,0,区分無し,202,畑（畑、樹園地、採草地、養鶏（牛・豚）場）,401,業務施設,0.03125
1,0,区分無し,202,畑（畑、樹園地、採草地、養鶏（牛・豚）場）,402,商業施設,0.03125
1,0,区分無し,202,畑（畑、樹園地、採草地、養鶏（牛・豚）場）,412,共同住宅,0.03125
1,0,区分無し,202,畑（畑、樹園地、採草地、養鶏（牛・豚）場）,431,運輸倉庫施設,0.03125
1,0,区分無し,205,その他自然地（原野・牧野、荒れ地、低湿地、河川敷・河原、海浜、湖岸）,411,住宅,0.875
1,0,区分無し,205,その他自然地（原野・牧野、荒れ地、低湿地、河川敷・河原、海浜、湖岸）,401,業務施設,0.03125
1,0,区分無し,205,その他自然地（原野・牧野、荒れ地、低湿地、河川敷・河原、海浜、湖岸）,402,商業施設,0.03125
1,0,区分無し,205,その他自然地（原野・牧野、荒れ地、低湿地、河川敷・河原、海浜、湖岸）,412,共同住宅,0.03125
1,0,区分無し,205,その他自然地（原野・牧野、荒れ地、低湿地、河川敷・河原、海浜、湖岸）,431,運輸倉庫施設,0.03125
2,1,～5m,211,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,411,住宅,0.87495597
2,1,～5m,211,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,413,店舗等併用住宅,0.05230715
2,1,～5m,211,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,402,商業施設,0.028355055
2,1,～5m,211,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,401,業務施設,0.018668545
2,1,～5m,211,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,422,文教厚生施設,0.008277563
2,1,～5m,211,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,412,共同住宅,0.005811906
2,1,～5m,211,住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,415,作業所併用住宅,0.004402959
