Year,Gender,Age_Group,Number_of_Outgoing_People
2021,0,1,427333.1671
2021,0,10,777508.6357
2021,0,11,717323.4094
2021,0,12,516526.0797
2021,0,13,330317.8193
2021,0,14,229917.9313
2021,0,15,281642.5682
2021,0,16,254332.4099
2021,0,17,195971.8074
2021,0,18,411166.1853
2021,0,2,652081.7456
2021,0,3,382493.1002
2021,0,4,464104.4361
2021,0,5,1003583.08
2021,0,6,1313759.593
2021,0,7,1246507.153
2021,0,8,1008792.095
2021,0,9,742647.732
2021,1,1,404347.4566
2021,1,10,678129.3451
2021,1,11,609173.6916
2021,1,12,438117.2711
2021,1,13,281708.4254
2021,1,14,211514.1003
2021,1,15,290609.6042
2021,1,16,345352.3709
2021,1,17,366669.5383
2021,1,18,1245774.783
2021,1,2,623450.4414
2021,1,3,366302.6672
2021,1,4,414057.5698
2021,1,5,969328.3685
2021,1,6,1343327.961
2021,1,7,1261290.687
2021,1,8,980999.0962
2021,1,9,690673.6549
2022,0,1,427333.1671
2022,0,10,777508.6357
2022,0,11,717323.4094
2022,0,12,516526.0797
2022,0,13,330317.8193
2022,0,14,229917.9313
2022,0,15,281642.5682
2022,0,16,254332.4099
2022,0,17,195971.8074
2022,0,18,411166.1853
2022,0,2,652081.7456
2022,0,3,382493.1002
2022,0,4,464104.4361
2022,0,5,1003583.08
2022,0,6,1313759.593
2022,0,7,1246507.153
2022,0,8,1008792.095
2022,0,9,742647.732
2022,1,1,404347.4566
2022,1,10,678129.3451
2022,1,11,609173.6916
2022,1,12,438117.2711
2022,1,13,281708.4254
2022,1,14,211514.1003
2022,1,15,290609.6042
2022,1,16,345352.3709
2022,1,17,366669.5383
2022,1,18,1245774.783
2022,1,2,623450.4414
2022,1,3,366302.6672
2022,1,4,414057.5698
2022,1,5,969328.3685
2022,1,6,1343327.961
2022,1,7,1261290.687
2022,1,8,980999.0962
2022,1,9,690673.6549
2023,0,1,427333.1671
2023,0,10,777508.6357
2023,0,11,717323.4094
2023,0,12,516526.0797
2023,0,13,330317.8193
2023,0,14,229917.9313
2023,0,15,281642.5682
2023,0,16,254332.4099
2023,0,17,195971.8074
2023,0,18,411166.1853
2023,0,2,652081.7456
