年,性別,年齢,旧,新,確率
2015-20,1,4,11,11,0.2527
2015-20,1,4,15,11,0
2015-20,1,4,17,11,0.3132
2015-20,1,4,21,11,0
2015-20,1,4,22,11,0
2015-20,1,4,23,11,0
2015-20,1,4,25,11,0
2015-20,1,4,27,11,0
2015-20,1,4,31,11,0
2015-20,1,4,34,11,0
2015-20,1,4,35,11,0
2015-20,1,4,37,11,0
2015-20,1,4,99,11,0
2015-20,1,5,11,11,0.5037
2015-20,1,5,15,11,0
2015-20,1,5,17,11,0.2327
2015-20,1,5,21,11,0
2015-20,1,5,22,11,0
2015-20,1,5,23,11,0
2015-20,1,5,25,11,0
2015-20,1,5,27,11,0
2015-20,1,5,31,11,0
2015-20,1,5,34,11,0
2015-20,1,5,35,11,0
2015-20,1,5,37,11,0
2015-20,1,5,99,11,0
2015-20,1,6,11,11,0.5159
2015-20,1,6,15,11,0
2015-20,1,6,17,11,0.1252
2015-20,1,6,21,11,0
2015-20,1,6,22,11,0
2015-20,1,6,23,11,0
2015-20,1,6,25,11,0
2015-20,1,6,27,11,0
2015-20,1,6,31,11,0
2015-20,1,6,34,11,0
2015-20,1,6,35,11,0
2015-20,1,6,37,11,0
2015-20,1,6,99,11,0
2015-20,1,7,11,11,0.6069
2015-20,1,7,15,11,0
2015-20,1,7,17,11,0.1202
2015-20,1,7,21,11,0
2015-20,1,7,22,11,0
2015-20,1,7,23,11,0
2015-20,1,7,25,11,0
2015-20,1,7,27,11,0
2015-20,1,7,31,11,0
2015-20,1,7,34,11,0
2015-20,1,7,35,11,0
2015-20,1,7,37,11,0
2015-20,1,7,99,11,0
2015-20,1,8,11,11,0.74
2015-20,1,8,15,11,0
2015-20,1,8,17,11,0.0832
2015-20,1,8,21,11,0
2015-20,1,8,22,11,0
2015-20,1,8,23,11,0
2015-20,1,8,25,11,0
2015-20,1,8,27,11,0
2015-20,1,8,31,11,0
2015-20,1,8,34,11,0
2015-20,1,8,35,11,0
2015-20,1,8,37,11,0
2015-20,1,8,99,11,0
2015-20,1,4,11,15,0
2015-20,1,4,15,15,0.9544
2015-20,1,4,17,15,0.0035
2015-20,1,4,21,15,0
2015-20,1,4,22,15,0
2015-20,1,4,23,15,0
2015-20,1,4,25,15,0
2015-20,1,4,27,15,0
2015-20,1,4,31,15,0
2015-20,1,4,34,15,0
2015-20,1,4,35,15,0
2015-20,1,4,37,15,0
2015-20,1,4,99,15,0
2015-20,1,5,11,15,0
2015-20,1,5,15,15,0.789
2015-20,1,5,17,15,0.0012
2015-20,1,5,21,15,0
2015-20,1,5,22,15,0
2015-20,1,5,23,15,0
2015-20,1,5,25,15,0
2015-20,1,5,27,15,0
2015-20,1,5,31,15,0
2015-20,1,5,34,15,0
2015-20,1,5,35,15,0
2015-20,1,5,37,15,0
2015-20,1,5,99,15,0
2015-20,1,6,11,15,0
2015-20,1,6,15,15,0.6694
2015-20,1,6,17,15,0.0006
2015-20,1,6,21,15,0
2015-20,1,6,22,15,0
2015-20,1,6,23,15,0
2015-20,1,6,25,15,0
2015-20,1,6,27,15,0
2015-20,1,6,31,15,0
2015-20,1,6,34,15,0
2015-20,1,6,35,15,0
2015-20,1,6,37,15,0
2015-20,1,6,99,15,0
2015-20,1,7,11,15,0
2015-20,1,7,15,15,0.7593
2015-20,1,7,17,15,0.0008
2015-20,1,7,21,15,0
2015-20,1,7,22,15,0
2015-20,1,7,23,15,0
2015-20,1,7,25,15,0
2015-20,1,7,27,15,0
2015-20,1,7,31,15,0
2015-20,1,7,34,15,0
2015-20,1,7,35,15,0
2015-20,1,7,37,15,0
2015-20,1,7,99,15,0
2015-20,1,8,11,15,0
2015-20,1,8,15,15,0.8321
2015-20,1,8,17,15,0.0019
2015-20,1,8,21,15,0
2015-20,1,8,22,15,0
2015-20,1,8,23,15,0
2015-20,1,8,25,15,0
2015-20,1,8,27,15,0
2015-20,1,8,31,15,0
2015-20,1,8,34,15,0
2015-20,1,8,35,15,0
2015-20,1,8,37,15,0
2015-20,1,8,99,15,0
2015-20,1,4,11,17,0.7017
2015-20,1,4,15,17,0
2015-20,1,4,17,17,0.6376
2015-20,1,4,21,17,0
2015-20,1,4,22,17,0
2015-20,1,4,23,17,0
2015-20,1,4,25,17,0
2015-20,1,4,27,17,0
2015-20,1,4,31,17,0
2015-20,1,4,34,17,0
2015-20,1,4,35,17,0
2015-20,1,4,37,17,0
2015-20,1,4,99,17,0
2015-20,1,5,11,17,0.2853
2015-20,1,5,15,17,0
2015-20,1,5,17,17,0.5552
2015-20,1,5,21,17,0
2015-20,1,5,22,17,0
2015-20,1,5,23,17,0
2015-20,1,5,25,17,0
2015-20,1,5,27,17,0
2015-20,1,5,31,17,0
2015-20,1,5,34,17,0
2015-20,1,5,35,17,0
2015-20,1,5,37,17,0
2015-20,1,5,99,17,0
2015-20,1,6,11,17,0.1535
2015-20,1,6,15,17,0
2015-20,1,6,17,17,0.5436
2015-20,1,6,21,17,0
2015-20,1,6,22,17,0
2015-20,1,6,23,17,0
2015-20,1,6,25,17,0
2015-20,1,6,27,17,0
2015-20,1,6,31,17,0
2015-20,1,6,34,17,0
2015-20,1,6,35,17,0
2015-20,1,6,37,17,0
2015-20,1,6,99,17,0
2015-20,1,7,11,17,0.1524
2015-20,1,7,15,17,0
2015-20,1,7,17,17,0.6382
2015-20,1,7,21,17,0
2015-20,1,7,22,17,0
2015-20,1,7,23,17,0
2015-20,1,7,25,17,0
2015-20,1,7,27,17,0
2015-20,1,7,31,17,0
2015-20,1,7,34,17,0
2015-20,1,7,35,17,0
2015-20,1,7,37,17,0
2015-20,1,7,99,17,0
2015-20,1,8,11,17,0.0921
2015-20,1,8,15,17,0
2015-20,1,8,17,17,0.7471
2015-20,1,8,21,17,0
2015-20,1,8,22,17,0
2015-20,1,8,23,17,0
2015-20,1,8,25,17,0
2015-20,1,8,27,17,0
2015-20,1,8,31,17,0
2015-20,1,8,34,17,0
2015-20,1,8,35,17,0
2015-20,1,8,37,17,0
2015-20,1,8,99,17,0
2015-20,1,4,11,21,0
2015-20,1,4,15,21,0
2015-20,1,4,17,21,0.0015
2015-20,1,4,21,21,0.954
2015-20,1,4,22,21,0
2015-20,1,4,23,21,0
2015-20,1,4,25,21,0
2015-20,1,4,27,21,0
2015-20,1,4,31,21,0
2015-20,1,4,34,21,0
2015-20,1,4,35,21,0
2015-20,1,4,37,21,0
2015-20,1,4,99,21,0
2015-20,1,5,11,21,0.006
2015-20,1,5,15,21,0
2015-20,1,5,17,21,0.006
2015-20,1,5,21,21,0.9538
2015-20,1,5,22,21,0
2015-20,1,5,23,21,0
2015-20,1,5,25,21,0
2015-20,1,5,27,21,0
2015-20,1,5,31,21,0
2015-20,1,5,34,21,0
2015-20,1,5,35,21,0
2015-20,1,5,37,21,0
2015-20,1,5,99,21,0
2015-20,1,6,11,21,0.0081
2015-20,1,6,15,21,0
2015-20,1,6,17,21,0.0081
2015-20,1,6,21,21,0.9545
2015-20,1,6,22,21,0
2015-20,1,6,23,21,0
2015-20,1,6,25,21,0
2015-20,1,6,27,21,0
2015-20,1,6,31,21,0
2015-20,1,6,34,21,0
2015-20,1,6,35,21,0
2015-20,1,6,37,21,0
2015-20,1,6,99,21,0
2015-20,1,7,11,21,0.0096
2015-20,1,7,15,21,0
2015-20,1,7,17,21,0.0112
2015-20,1,7,21,21,0.9536
2015-20,1,7,22,21,0
2015-20,1,7,23,21,0
2015-20,1,7,25,21,0
2015-20,1,7,27,21,0
2015-20,1,7,31,21,0
2015-20,1,7,34,21,0
2015-20,1,7,35,21,0
2015-20,1,7,37,21,0
2015-20,1,7,99,21,0
2015-20,1,8,11,21,0
2015-20,1,8,15,21,0
2015-20,1,8,17,21,0
2015-20,1,8,21,21,0.9538
2015-20,1,8,22,21,0
2015-20,1,8,23,21,0.0243
2015-20,1,8,25,21,0
2015-20,1,8,27,21,0
2015-20,1,8,31,21,0
2015-20,1,8,34,21,0
2015-20,1,8,35,21,0
2015-20,1,8,37,21,0
2015-20,1,8,99,21,0
2015-20,1,4,11,22,0.0197
2015-20,1,4,15,22,0
2015-20,1,4,17,22,0.011
2015-20,1,4,21,22,0
2015-20,1,4,22,22,0.212
2015-20,1,4,23,22,0
2015-20,1,4,25,22,0
2015-20,1,4,27,22,0
2015-20,1,4,31,22,0.3005
2015-20,1,4,34,22,0.5759
2015-20,1,4,35,22,0.5759
2015-20,1,4,37,22,0.0823
2015-20,1,4,99,22,0
2015-20,1,5,11,22,0.1074
2015-20,1,5,15,22,0
2015-20,1,5,17,22,0.0808
2015-20,1,5,21,22,0
2015-20,1,5,22,22,0.212
2015-20,1,5,23,22,0
2015-20,1,5,25,22,0
2015-20,1,5,27,22,0
2015-20,1,5,31,22,0.3441
2015-20,1,5,34,22,0.6595
2015-20,1,5,35,22,0.6595
2015-20,1,5,37,22,0.0942
2015-20,1,5,99,22,0
2015-20,1,6,11,22,0.1589
2015-20,1,6,15,22,0
2015-20,1,6,17,22,0.1119
2015-20,1,6,21,22,0
2015-20,1,6,22,22,0.2121
2015-20,1,6,23,22,0
2015-20,1,6,25,22,0
2015-20,1,6,27,22,0.0048
2015-20,1,6,31,22,0.3429
2015-20,1,6,34,22,0.6573
2015-20,1,6,35,22,0.6573
2015-20,1,6,37,22,0.0939
2015-20,1,6,99,22,0
2015-20,1,7,11,22,0.1317
2015-20,1,7,15,22,0
2015-20,1,7,17,22,0.1
2015-20,1,7,21,22,0
2015-20,1,7,22,22,0.2411
2015-20,1,7,23,22,0
2015-20,1,7,25,22,0
2015-20,1,7,27,22,0.0757
2015-20,1,7,31,22,0.3205
2015-20,1,7,34,22,0.6143
2015-20,1,7,35,22,0.6143
2015-20,1,7,37,22,0.0878
2015-20,1,7,99,22,0
2015-20,1,8,11,22,0.0786
2015-20,1,8,15,22,0
2015-20,1,8,17,22,0.055
2015-20,1,8,21,22,0
2015-20,1,8,22,22,0.4321
2015-20,1,8,23,22,0.0332
2015-20,1,8,25,22,0
2015-20,1,8,27,22,0.0578
2015-20,1,8,31,22,0.2569
2015-20,1,8,34,22,0.4923
2015-20,1,8,35,22,0.4923
2015-20,1,8,37,22,0.0703
2015-20,1,8,99,22,0
2015-20,1,4,11,23,0.0173
2015-20,1,4,15,23,0
2015-20,1,4,17,23,0.0182
2015-20,1,4,21,23,0
2015-20,1,4,22,23,0.742
2015-20,1,4,23,23,0.954
2015-20,1,4,25,23,0
2015-20,1,4,27,23,0
2015-20,1,4,31,23,0.2253
