zone_code,ìsésã@î\óUì±,ãèèZóUì±
001000-00000,1.2,0.8
002001-00000,1.2,0.8
002002-00000,1.2,0.8
003000-00000,1.2,0.8
004001-00000,1,0.8
004002-00000,1,0.8
004003-00000,1,0.8
004004-00000,1,0.8
004005-00000,1,1
004006-00000,1,1
004007-00000,1,0.8
005000-00000,1.2,0.8
006001-00000,1.2,0.8
006002-00000,1.2,0.8
006003-00000,1.2,0.8
006004-00000,1.2,0.8
007000-00000,1,0.8
008000-00000,1.2,0.8
009091-00000,1.2,0.8
009092-00000,1.2,0.8
010001-00000,1.2,0.8
010002-00000,1.2,0.8
010003-00000,1.2,0.8
010004-00000,1.2,0.8
010005-00000,1.2,0.8
011000-00000,1,0.8
012000-00000,1,1
013001-00000,1.2,0.8
013002-00000,1.2,0.8
013003-00000,1.2,0.8
014000-00000,1.2,0.8
015001-00000,1.2,0.8
015002-00000,1.2,0.8
015003-00000,1.2,0.8
015004-00000,1.2,0.8
015005-00000,1.2,0.8
016001-00000,1.2,0.8
016002-00000,1.2,0.8
016003-00000,1.2,0.8
016004-00000,1.2,0.8
016005-00000,1.2,0.8
017000-00000,1,1
018001-00000,1.2,0.8
018002-00000,1.2,0.8
019000-00000,1,0.8
020000-00000,1.2,0.8
021000-00000,1,1
022000-00000,1.2,0.8
023000-00000,1,0.8
024000-00000,1.2,0.8
025001-00000,1.2,0.8
025002-00000,1.2,0.8
025003-00000,1.2,0.8
026000-00000,1,1
027000-00000,1.2,0.8
028000-00000,1.2,0.8
029000-00000,1.2,0.8
030001-00000,1.2,0.8
030002-00000,1.2,0.8
030003-00000,1.2,0.8
030004-00000,1,0.8
030005-00000,1,0.8
031000-00000,1.2,0.8
032000-00000,1,1
033001-00000,1.2,0.8
033002-00000,1.2,0.8
034001-00000,1.2,0.8
034002-00000,1.2,0.8
034003-00000,1.2,0.8
034005-00000,1.2,0.8
035001-00000,1.2,0.8
035002-00000,1.2,0.8
035003-00000,1.2,0.8
036001-00000,1.2,0.8
036002-00000,1.2,0.8
037000-00000,1.2,0.8
038000-00000,1.2,0.8
039001-00000,1.2,0.8
039002-00000,1.2,0.8
040000-00000,1.2,0.8
041000-00000,1.2,0.8
042001-00000,1.2,0.8
042002-00000,1.2,0.8
042003-00000,1.2,0.8
042005-00000,1.2,0.8
043001-00000,1.2,0.8
043002-00000,1.2,0.8
044000-00000,1.2,0.8
045000-00000,1,0.8
046001-00000,1,0.8
046002-00000,1,1
046003-00000,1,1
046004-00000,1,0.8
047000-00000,1.2,0.8
048000-00000,1,0.8
049000-00000,1.2,0.8
050000-00000,1,0.8
051000-00000,1.2,0.8
052001-00000,1.2,0.8
052002-00000,1.2,0.8
052003-00000,1.2,0.8
053000-00000,1,0.8
054001-00000,1.2,0.8
054002-00000,1.2,0.8
054003-00000,1.2,0.8
055001-00000,1.2,0.8
055002-00000,1.2,0.8
056000-00000,1,0.8
057001-00000,1.2,0.8
057002-00000,1.2,0.8
057003-00000,1.2,0.8
058000-00000,1.2,0.8
059000-00000,1.2,0.8
060001-00000,1.2,0.8
060002-00000,1.2,0.8
060003-00000,1.2,0.8
060004-00000,1.2,0.8
060005-00000,1.2,0.8
061001-00000,1.2,0.8
061002-00000,1.2,0.8
061003-00000,1.2,0.8
061004-00000,1.2,0.8
062000-00000,1,1
063000-00000,1,0.8
064001-00000,1,0.8
064002-00000,1,0.8
064003-00000,1,0.8
065001-00000,1,0.8
065002-00000,1,0.8
066000-00000,1,0.8
067001-00000,1.2,0.8
067002-00000,1.2,0.8
067003-00000,1.2,0.8
067004-00000,1.2,0.8
067005-00000,1.2,0.8
067006-00000,1.2,0.8
068001-00000,1.2,0.8
069001-00000,1.2,0.8
069002-00000,1.2,0.8
070001-00000,1,0.8
070002-00000,1,0.8
071000-00000,1,1
072000-00000,1,0.8
073000-00000,1.2,0.8
074001-00000,1,0.8
074002-00000,1,0.8
074003-00000,1,0.8
074004-00000,1,0.8
074005-00000,1,0.8
075001-00000,1.2,0.8
075002-00000,1.2,0.8
076000-00000,1.2,0.8
077000-00000,1.2,0.8
078000-00000,1.2,0.8
079001-00000,1.2,0.8
079002-00000,1.2,0.8
079003-00000,1.2,0.8
080001-00000,1.2,0.8
080002-00000,1.2,0.8
081000-00000,1.2,0.8
082000-00000,1,0.8
083001-00000,1.2,0.8
083002-00000,1.2,0.8
083003-00000,1.2,0.8
083004-00000,1.2,0.8
084091-00000,1,0.8
084092-00000,1,0.8
085000-00000,1.2,0.8
086000-00000,1.2,0.8
087001-00000,1,0.8
087003-00000,1,0.8
087004-00000,1,0.8
087005-00000,1,0.8
088000-00000,1,0.8
089000-00000,1,0.8
090000-00000,1,0.8
091001-00000,1.2,0.8
091002-00000,1.2,0.8
091003-00000,1.2,0.8
091004-00000,1.2,0.8
091005-00000,1.2,0.8
