zone_code,pop_all,AREA,fnum_library,fnum_hospital,fnum_clinic,fnum_hospital(internal),fnum_clinic(internal),fnum_sygakko,fnum_chugakko,fnum_yochienkodomoen,min_dist2sta,dist2Utu,yotochiki,farea_residence,farea_shop,transit40farea_shop,car5farea_shop
119091-67543,1727,157277.3461,0,0,1,0,1,0,0,0,2932.980179,2932.980179,第二種中高層住居専用地域,56687.05641,2543.326672,897147.0853,293657.8155
119091-67443,1274,236997.3093,0,0,1,0,0,1,0,0,3368.845654,3368.845654,第二種中高層住居専用地域,50273.50313,2181.55667,566516.482,116243.1336
119091-67541,2420.482328,309625.1208,0,0,0,0,0,0,1,0,3213.396152,3213.396152,第二種中高層住居専用地域,97141.1691,2359.831177,772793.4293,164670.3989
122000-00000,5312,732119.2949,0,0,3,0,2,0,0,0,2747.024327,2747.024327,第二種中高層住居専用地域,200578.4364,5329.149549,684138.8942,223493.5368
119091-67432,1459,231580.6762,0,0,1,0,0,0,0,0,3270.357778,3270.357778,準工業地域,74909.13368,2239.742038,627589.5972,111745.0248
121000-00000,36,253017.4818,0,0,0,0,0,0,0,0,3726.227068,3726.227068,準工業地域,4915.493279,1637.162967,380148.416,73367.23339
119091-67334,604,145281.3406,0,1,0,1,0,0,0,0,3596.637557,3596.637557,第一種住居地域,25011.20036,2771.160773,392272.2218,64708.43248
119091-67332,557,113603.0694,0,0,0,0,0,0,1,0,4050.597848,4050.597848,第一種住居地域,6278.791532,819.9289647,578874.0636,64085.10458
140091-00000,1665,280546.759,0,0,1,0,1,0,0,0,2712.700471,2712.700471,第一種住居地域,66237.03652,4169.728143,621430.3331,107901.6109
123291-67951,432,244691.4103,0,0,0,0,0,0,0,0,2422.860334,4124.006008,工業地域,24448.13648,5666.734017,489755.6463,74884.28163
123291-67953,298,214677.9589,0,0,0,0,0,0,0,0,1950.21915,4343.753783,工業地域,18399.64071,676.1168347,516837.1703,91246.93764
123291-77051,105,140366.1942,0,0,0,0,0,0,0,0,1547.739261,4642.869084,工業地域,6255.950463,107.6168953,416340.0608,79167.62371
123291-67853,723.88316,253057.0673,0,0,0,0,0,0,1,0,2830.046206,3976.096572,工業地域,40139.50484,2867.709947,583329.984,76517.23365
200003-00000,642,146125.9254,0,0,1,0,1,0,0,0,333.6928163,6384.285236,第二種中高層住居専用地域,31989.73866,1245.166428,474531.8491,101384.3795
200001-00000,605,112443.0423,0,0,0,0,0,0,0,0,539.4300687,6038.556467,第二種中高層住居専用地域,24369.49424,149.8373955,454246.3774,97281.43264
109004-00000,711,129124.0658,0,0,0,0,0,0,0,0,970.5847725,4689.187005,第二種中高層住居専用地域,30209.20357,730.2228642,403286.1152,117451.4273
109001-00000,909,88725.97959,0,0,0,0,0,0,0,0,651.079757,4708.965144,第二種中高層住居専用地域,31887.34811,601.3690233,496356.3481,133497.0511
109002-00000,644,94394.77689,0,0,1,0,1,0,0,0,789.9122771,4940.124331,第二種中高層住居専用地域,27064.38203,3888.129508,454331.5583,120877.3989
109003-00000,842,127619.2143,0,0,1,0,1,0,0,0,778.5396451,4331.944965,第二種中高層住居専用地域,32136.81303,1374.205949,488682.3469,137798.5524
109005-00000,578,68456.29429,0,0,0,0,0,0,0,0,1197.623554,5024.958533,第二種中高層住居専用地域,20895.73026,791.0496511,327700.6403,120590.1377
114001-00000,725,97135.38444,0,0,2,0,2,0,0,0,535.943102,4916.254488,第二種中高層住居専用地域,30802.59883,5699.447456,487174.3475,129333.839
115002-00000,982,139906.5001,0,0,0,0,0,0,0,0,1216.784049,5429.166706,第二種中高層住居専用地域,46003.41561,2604.281741,433318.9965,111105.806
115001-00000,489,81164.8208,0,0,1,0,1,0,0,0,975.1776254,5152.90092,第二種中高層住居専用地域,22674.44432,1147.240395,452868.3801,113169.8856
115004-00000,560,71895.03394,0,0,0,0,0,0,0,0,886.5556528,5759.168422,第二種中高層住居専用地域,25928.76237,562.9693181,482714.3964,110749.6983
115005-00000,658,142884.571,0,0,1,0,1,1,0,0,988.6451801,5852.076362,第二種中高層住居専用地域,22888.85358,1674.986616,410131.242,112173.3285
111000-00000,856,101010.6422,0,0,0,0,0,0,0,0,485.1946213,4441.561104,第二種中高層住居専用地域,41683.87316,1272.240277,523269.4841,142510.2966
107003-00000,576,86254.03437,0,0,1,0,1,0,0,0,1193.004255,5784.987907,第二種中高層住居専用地域,27087.74163,1667.043734,390148.427,117213.8163
107002-00000,1096,153047.8925,0,0,0,0,0,0,0,0,1489.976145,5583.72502,第二種中高層住居専用地域,44366.82733,1824.746111,250347.7456,115146.6125
107001-00000,1348,170351.5918,0,0,1,0,1,0,0,0,1412.751886,5276.124659,第二種中高層住居専用地域,55091.13831,1359.810704,316933.7381,111800.2774
043002-00000,718,55851.68312,0,1,0,1,0,0,0,0,930.333009,1075.317445,近隣商業地域,25721.13444,832.1147391,1078702.23,679630.9357
002002-00000,438,69744.14678,0,0,0,0,0,0,0,0,815.4182375,1415.045311,近隣商業地域,19309.09803,3335.840081,1012864.853,624372.3492
006001-00000,270,62907.13318,0,0,0,0,0,0,0,0,504.1961485,1672.646299,近隣商業地域,16802.92762,1189.309354,963464.4722,515516.8325
