variable,rotation.PC1,rotation.PC2,rotation.PC3,rotation.PC4,rotation.PC5,rotation.PC6,rotation.PC7,rotation.PC8,rotation.PC9,rotation.PC10,rotation.PC11,rotation.PC12
fnum_library,-0.092229265,-0.095062033,-0.310356788,0.674309979,0.457013998,-0.424942228,0.184546876,-0.073321177,0.043553777,-0.022823142,0.011672078,-0.004048225
fnum_clinic,-0.201850372,-0.406782651,-0.189596496,-0.422302063,0.297097348,-0.01443659,0.056349067,-0.00972136,0.017157169,-0.693597466,-0.079146451,0.010839376
fnum_hospital,-0.16214841,-0.379161492,0.531685617,0.205194224,-0.041380021,0.031877155,0.021162611,-0.025806878,-0.023761142,-0.027275453,-0.012095539,-0.707002855
fnum_clinic_internal,-0.231092088,-0.404559353,-0.157791056,-0.387925067,0.304729885,-0.058675561,0.027061081,-0.015112148,-0.05733691,0.705627371,0.095022528,-0.007328681
fnum_hospital_internal,-0.169340937,-0.374092113,0.532718118,0.206997761,-0.046316587,0.030962121,0.04722875,-0.020156082,0.025452047,-0.009879263,0.019276181,0.705609235
fnum_sygakko,-0.256440489,-0.210224382,-0.267957421,0.210619094,-0.21565405,0.008041002,-0.834230297,0.17506291,-0.011053642,-0.020112143,0.001917147,0.013910726
fnum_chugakko,-0.174052024,-0.173271662,-0.363340969,0.281579234,-0.143057715,0.773455551,0.328762577,-0.000628566,-0.024614984,0.029755038,-0.008415958,-0.005743188
fnum_yochienkodomoen,-0.19049287,-0.200307036,-0.238260814,-0.057876458,-0.72964915,-0.45481582,0.330002889,-0.120802948,-0.022914979,-0.000567345,-0.012299434,-0.007375177
min_dist2sta,-0.3720778,0.230814672,0.03677656,-0.042467795,0.030367606,0.07887704,-0.145826318,-0.795291166,0.378402271,0.011850573,-0.028516337,-0.009361617
dist2Utu,-0.431139744,0.290174941,0.073502313,0.001387807,0.067944916,-0.016113856,0.00964213,-0.098422806,-0.824080228,-0.034649955,-0.169247535,0.030045827
transit40farea_shop,0.442157707,-0.265216709,-0.0644751,0.036485111,-0.014946834,0.020195755,-0.10135562,-0.307283278,-0.141381634,0.096351666,-0.770281682,0.027109546
car5farea_shop,0.436128429,-0.236553142,-0.069695254,0.037347879,-0.032114876,0.041873265,-0.121648452,-0.459771671,-0.387001726,-0.087950212,0.600861789,0.008293094
