年,性別,年齢,旧,新,確率
2015-16,2,4,11,22,0.0
2015-16,2,4,11,23,0.0
2015-16,2,4,11,25,0.0
2015-16,2,4,11,24,0.0
2015-16,2,4,11,21,0.0
2015-16,2,4,11,27,0.0055
2015-16,2,4,11,26,0.0766
2015-16,2,4,11,15,0.0
2015-16,2,4,11,11,0.1046
2015-16,2,4,11,17,0.8073
2015-16,2,4,11,35,0.0
2015-16,2,4,11,34,0.0
2015-16,2,4,11,31,0.0051
2015-16,2,4,11,37,0.0
2015-16,2,4,11,99,0.0008
2015-16,2,4,15,22,0.0
2015-16,2,4,15,23,0.0
2015-16,2,4,15,25,0.0
2015-16,2,4,15,24,0.0
2015-16,2,4,15,21,0.0
2015-16,2,4,15,27,0.0
2015-16,2,4,15,26,0.0821
2015-16,2,4,15,15,0.9119
2015-16,2,4,15,11,0.0
2015-16,2,4,15,17,0.0
2015-16,2,4,15,35,0.0051
2015-16,2,4,15,34,0.0
2015-16,2,4,15,31,0.0
2015-16,2,4,15,37,0.0
2015-16,2,4,15,99,0.0008
2015-16,2,4,17,22,0.0
2015-16,2,4,17,23,0.0
2015-16,2,4,17,25,0.0
2015-16,2,4,17,24,0.0016
2015-16,2,4,17,21,0.0014
2015-16,2,4,17,27,0.0155
2015-16,2,4,17,26,0.0637
2015-16,2,4,17,15,0.0052
2015-16,2,4,17,11,0.2416
2015-16,2,4,17,17,0.6651
2015-16,2,4,17,35,0.0002
2015-16,2,4,17,34,0.0022
2015-16,2,4,17,31,0.0
2015-16,2,4,17,37,0.0027
2015-16,2,4,17,99,0.0008
2015-16,2,4,21,22,0.0
2015-16,2,4,21,23,0.0
2015-16,2,4,21,25,0.0
2015-16,2,4,21,24,0.0
2015-16,2,4,21,21,0.6202
2015-16,2,4,21,27,0.0
2015-16,2,4,21,26,0.0
2015-16,2,4,21,15,0.0
2015-16,2,4,21,11,0.0
2015-16,2,4,21,17,0.0
2015-16,2,4,21,35,0.0
2015-16,2,4,21,34,0.0
2015-16,2,4,21,31,0.3788
2015-16,2,4,21,37,0.0
2015-16,2,4,21,99,0.0011
2015-16,2,4,24,22,0.0
2015-16,2,4,24,23,0.0
2015-16,2,4,24,25,0.0
2015-16,2,4,24,24,0.6202
2015-16,2,4,24,21,0.0
2015-16,2,4,24,27,0.0
2015-16,2,4,24,26,0.0
2015-16,2,4,24,15,0.0
2015-16,2,4,24,11,0.0
2015-16,2,4,24,17,0.0
2015-16,2,4,24,35,0.0
2015-16,2,4,24,34,0.3788
2015-16,2,4,24,31,0.0
2015-16,2,4,24,37,0.0
2015-16,2,4,24,99,0.0011
2015-16,2,4,26,22,0.0
2015-16,2,4,26,23,0.0
2015-16,2,4,26,25,0.0
2015-16,2,4,26,24,0.0
2015-16,2,4,26,21,0.0
2015-16,2,4,26,27,0.0
2015-16,2,4,26,26,0.6202
2015-16,2,4,26,15,0.0
2015-16,2,4,26,11,0.0
2015-16,2,4,26,17,0.0
2015-16,2,4,26,35,0.0
2015-16,2,4,26,34,0.2525
2015-16,2,4,26,31,0.0631
2015-16,2,4,26,37,0.0631
2015-16,2,4,26,99,0.0011
2015-16,2,4,27,22,0.0
2015-16,2,4,27,23,0.0
2015-16,2,4,27,25,0.0
2015-16,2,4,27,24,0.0
2015-16,2,4,27,21,0.0
2015-16,2,4,27,27,0.3947
2015-16,2,4,27,26,0.2255
2015-16,2,4,27,15,0.0
2015-16,2,4,27,11,0.0
2015-16,2,4,27,17,0.0
2015-16,2,4,27,35,0.0
2015-16,2,4,27,34,0.0
2015-16,2,4,27,31,0.0
2015-16,2,4,27,37,0.3788
2015-16,2,4,27,99,0.0011
2015-16,2,4,31,22,0.0
2015-16,2,4,31,23,0.0
2015-16,2,4,31,25,0.0
2015-16,2,4,31,24,0.0
2015-16,2,4,31,21,0.0
2015-16,2,4,31,27,0.0
2015-16,2,4,31,26,0.4326
2015-16,2,4,31,15,0.0
2015-16,2,4,31,11,0.0
2015-16,2,4,31,17,0.0
2015-16,2,4,31,35,0.0
2015-16,2,4,31,34,0.0
2015-16,2,4,31,31,0.0
2015-16,2,4,31,37,0.5635
2015-16,2,4,31,99,0.004
2015-16,2,4,34,22,0.0
2015-16,2,4,34,23,0.0
2015-16,2,4,34,25,0.0
2015-16,2,4,34,24,0.0
2015-16,2,4,34,21,0.0
2015-16,2,4,34,27,0.0
2015-16,2,4,34,26,0.4326
2015-16,2,4,34,15,0.0
2015-16,2,4,34,11,0.0
2015-16,2,4,34,17,0.0
2015-16,2,4,34,35,0.0
2015-16,2,4,34,34,0.5635
2015-16,2,4,34,31,0.0
2015-16,2,4,34,37,0.0
2015-16,2,4,34,99,0.004
2015-16,2,4,35,22,0.0
2015-16,2,4,35,23,0.0
2015-16,2,4,35,25,0.0
2015-16,2,4,35,24,0.0
2015-16,2,4,35,21,0.0
2015-16,2,4,35,27,0.0
2015-16,2,4,35,26,0.4326
2015-16,2,4,35,15,0.0
2015-16,2,4,35,11,0.0
2015-16,2,4,35,17,0.0
2015-16,2,4,35,35,0.3944
2015-16,2,4,35,34,0.0563
2015-16,2,4,35,31,0.0563
2015-16,2,4,35,37,0.0563
2015-16,2,4,35,99,0.004
2015-16,2,4,37,22,0.0
2015-16,2,4,37,23,0.0
2015-16,2,4,37,25,0.0
2015-16,2,4,37,24,0.0
2015-16,2,4,37,21,0.0
2015-16,2,4,37,27,0.0
2015-16,2,4,37,26,0.4326
2015-16,2,4,37,15,0.0
2015-16,2,4,37,11,0.0
2015-16,2,4,37,17,0.0
2015-16,2,4,37,35,0.0
2015-16,2,4,37,34,0.0
2015-16,2,4,37,31,0.0
2015-16,2,4,37,37,0.5635
2015-16,2,4,37,99,0.004
2015-16,2,4,99,22,0.0
2015-16,2,4,99,23,0.0
2015-16,2,4,99,25,0.0
2015-16,2,4,99,24,0.0
2015-16,2,4,99,21,0.0
2015-16,2,4,99,27,0.0
2015-16,2,4,99,26,0.0
2015-16,2,4,99,15,0.0
2015-16,2,4,99,11,0.0
2015-16,2,4,99,17,0.0
2015-16,2,4,99,35,0.0
2015-16,2,4,99,34,0.0
2015-16,2,4,99,31,0.0
2015-16,2,4,99,37,0.0
2015-16,2,4,99,99,1.0
2015-16,2,5,11,22,0.0
2015-16,2,5,11,23,0.0
2015-16,2,5,11,25,0.0
2015-16,2,5,11,24,0.0
2015-16,2,5,11,21,0.0
2015-16,2,5,11,27,0.02
2015-16,2,5,11,26,0.2765
2015-16,2,5,11,15,0.0
2015-16,2,5,11,11,0.2244
2015-16,2,5,11,17,0.4645
2015-16,2,5,11,35,0.0
2015-16,2,5,11,34,0.0087
2015-16,2,5,11,31,0.0048
2015-16,2,5,11,37,0.0
2015-16,2,5,11,99,0.0012
2015-16,2,5,15,22,0.0
2015-16,2,5,15,23,0.0
2015-16,2,5,15,25,0.0
2015-16,2,5,15,24,0.0
2015-16,2,5,15,21,0.0
2015-16,2,5,15,27,0.0
2015-16,2,5,15,26,0.2965
2015-16,2,5,15,15,0.6888
2015-16,2,5,15,11,0.0
2015-16,2,5,15,17,0.0
2015-16,2,5,15,35,0.0135
2015-16,2,5,15,34,0.0
2015-16,2,5,15,31,0.0
2015-16,2,5,15,37,0.0
2015-16,2,5,15,99,0.0012
2015-16,2,5,17,22,0.0
2015-16,2,5,17,23,0.0
2015-16,2,5,17,25,0.0
2015-16,2,5,17,24,0.0055
2015-16,2,5,17,21,0.0082
2015-16,2,5,17,27,0.0282
2015-16,2,5,17,26,0.2546
2015-16,2,5,17,15,0.0006
2015-16,2,5,17,11,0.2163
2015-16,2,5,17,17,0.4719
2015-16,2,5,17,35,0.0008
2015-16,2,5,17,34,0.0055
2015-16,2,5,17,31,0.0
2015-16,2,5,17,37,0.0072
2015-16,2,5,17,99,0.0012
2015-16,2,5,21,22,0.0
2015-16,2,5,21,23,0.0
2015-16,2,5,21,25,0.0
2015-16,2,5,21,24,0.0
2015-16,2,5,21,21,0.7552
2015-16,2,5,21,27,0.0
2015-16,2,5,21,26,0.0
2015-16,2,5,21,15,0.0
2015-16,2,5,21,11,0.0
2015-16,2,5,21,17,0.0
2015-16,2,5,21,35,0.0
2015-16,2,5,21,34,0.0
2015-16,2,5,21,31,0.2439
2015-16,2,5,21,37,0.0
2015-16,2,5,21,99,0.0009
2015-16,2,5,24,22,0.0
2015-16,2,5,24,23,0.0
2015-16,2,5,24,25,0.0
2015-16,2,5,24,24,0.7552
2015-16,2,5,24,21,0.0
2015-16,2,5,24,27,0.0
2015-16,2,5,24,26,0.0
2015-16,2,5,24,15,0.0
2015-16,2,5,24,11,0.0
2015-16,2,5,24,17,0.0
2015-16,2,5,24,35,0.0
2015-16,2,5,24,34,0.2439
2015-16,2,5,24,31,0.0
2015-16,2,5,24,37,0.0
2015-16,2,5,24,99,0.0009
2015-16,2,5,26,22,0.0
2015-16,2,5,26,23,0.0
2015-16,2,5,26,25,0.0
2015-16,2,5,26,24,0.0
2015-16,2,5,26,21,0.0
2015-16,2,5,26,27,0.0
2015-16,2,5,26,26,0.7552
2015-16,2,5,26,15,0.0
2015-16,2,5,26,11,0.0
2015-16,2,5,26,17,0.0
2015-16,2,5,26,35,0.0
2015-16,2,5,26,34,0.1626
2015-16,2,5,26,31,0.0407
2015-16,2,5,26,37,0.0407
2015-16,2,5,26,99,0.0009
2015-16,2,5,27,22,0.0
2015-16,2,5,27,23,0.0
2015-16,2,5,27,25,0.0
2015-16,2,5,27,24,0.0
2015-16,2,5,27,21,0.0
2015-16,2,5,27,27,0.4806
2015-16,2,5,27,26,0.2746
2015-16,2,5,27,15,0.0
2015-16,2,5,27,11,0.0
2015-16,2,5,27,17,0.0
2015-16,2,5,27,35,0.0
2015-16,2,5,27,34,0.0
2015-16,2,5,27,31,0.0
2015-16,2,5,27,37,0.2439
2015-16,2,5,27,99,0.0009
2015-16,2,5,31,22,0.0
2015-16,2,5,31,23,0.0
2015-16,2,5,31,25,0.0
2015-16,2,5,31,24,0.0
2015-16,2,5,31,21,0.0
2015-16,2,5,31,27,0.0
2015-16,2,5,31,26,0.4953
2015-16,2,5,31,15,0.0
2015-16,2,5,31,11,0.0
2015-16,2,5,31,17,0.0
2015-16,2,5,31,35,0.0
2015-16,2,5,31,34,0.0
2015-16,2,5,31,31,0.0
2015-16,2,5,31,37,0.5014
2015-16,2,5,31,99,0.0032
2015-16,2,5,34,22,0.0
2015-16,2,5,34,23,0.0
2015-16,2,5,34,25,0.0
2015-16,2,5,34,24,0.0
2015-16,2,5,34,21,0.0
2015-16,2,5,34,27,0.0
2015-16,2,5,34,26,0.4953
2015-16,2,5,34,15,0.0
2015-16,2,5,34,11,0.0
2015-16,2,5,34,17,0.0
2015-16,2,5,34,35,0.0
2015-16,2,5,34,34,0.5014
2015-16,2,5,34,31,0.0
2015-16,2,5,34,37,0.0
2015-16,2,5,34,99,0.0032
2015-16,2,5,35,22,0.0
2015-16,2,5,35,23,0.0
2015-16,2,5,35,25,0.0
2015-16,2,5,35,24,0.0
2015-16,2,5,35,21,0.0
2015-16,2,5,35,27,0.0
2015-16,2,5,35,26,0.4953
2015-16,2,5,35,15,0.0
2015-16,2,5,35,11,0.0
2015-16,2,5,35,17,0.0
2015-16,2,5,35,35,0.351
2015-16,2,5,35,34,0.0501
2015-16,2,5,35,31,0.0501
2015-16,2,5,35,37,0.0501
2015-16,2,5,35,99,0.0032
2015-16,2,5,37,22,0.0
2015-16,2,5,37,23,0.0
2015-16,2,5,37,25,0.0
2015-16,2,5,37,24,0.0
2015-16,2,5,37,21,0.0
2015-16,2,5,37,27,0.0
2015-16,2,5,37,26,0.4953
2015-16,2,5,37,15,0.0
2015-16,2,5,37,11,0.0
2015-16,2,5,37,17,0.0
2015-16,2,5,37,35,0.0
2015-16,2,5,37,34,0.0
2015-16,2,5,37,31,0.0
2015-16,2,5,37,37,0.5014
2015-16,2,5,37,99,0.0032
2015-16,2,5,99,22,0.0
2015-16,2,5,99,23,0.0
2015-16,2,5,99,25,0.0
2015-16,2,5,99,24,0.0
2015-16,2,5,99,21,0.0
2015-16,2,5,99,27,0.0
2015-16,2,5,99,26,0.0
2015-16,2,5,99,15,0.0
2015-16,2,5,99,11,0.0
2015-16,2,5,99,17,0.0
2015-16,2,5,99,35,0.0
2015-16,2,5,99,34,0.0
2015-16,2,5,99,31,0.0
2015-16,2,5,99,37,0.0
2015-16,2,5,99,99,1.0
2015-16,2,6,11,22,0.0
2015-16,2,6,11,23,0.0
2015-16,2,6,11,25,0.0
2015-16,2,6,11,24,0.0
2015-16,2,6,11,21,0.0
2015-16,2,6,11,27,0.0283
2015-16,2,6,11,26,0.3923
2015-16,2,6,11,15,0.0
2015-16,2,6,11,11,0.3118
2015-16,2,6,11,17,0.2486
2015-16,2,6,11,35,0.0
2015-16,2,6,11,34,0.0084
2015-16,2,6,11,31,0.0089
2015-16,2,6,11,37,0.0
2015-16,2,6,11,99,0.0017
2015-16,2,6,15,22,0.0
2015-16,2,6,15,23,0.0
2015-16,2,6,15,25,0.0
2015-16,2,6,15,24,0.0
2015-16,2,6,15,21,0.0
2015-16,2,6,15,27,0.0
2015-16,2,6,15,26,0.4206
2015-16,2,6,15,15,0.482
2015-16,2,6,15,11,0.0783
2015-16,2,6,15,17,0.0
2015-16,2,6,15,35,0.0173
2015-16,2,6,15,34,0.0
2015-16,2,6,15,31,0.0
2015-16,2,6,15,37,0.0
2015-16,2,6,15,99,0.0017
2015-16,2,6,17,22,0.0
2015-16,2,6,17,23,0.0
2015-16,2,6,17,25,0.0
2015-16,2,6,17,24,0.0156
2015-16,2,6,17,21,0.0045
2015-16,2,6,17,27,0.0458
2015-16,2,6,17,26,0.3547
2015-16,2,6,17,15,0.0
2015-16,2,6,17,11,0.1421
