êºóÔ,îNóÓ,èoê∂ó¶
2015,15,0.00015
2016,15,0.00015
2017,15,0.00015
2018,15,0.00015
2019,15,0.00015
2020,15,0.00015
2021,15,0.00015
2022,15,0.00015
2023,15,0.00015
2024,15,0.00015
2025,15,0.00015
2026,15,0.00015
2027,15,0.00015
2028,15,0.00015
2029,15,0.00015
2030,15,0.00015
2031,15,0.00015
2032,15,0.00015
2033,15,0.00015
2034,15,0.00015
2035,15,0.00015
2036,15,0.00015
2037,15,0.00015
2038,15,0.00015
2039,15,0.00015
2040,15,0.00015
2041,15,0.00015
2042,15,0.00015
2043,15,0.00015
2044,15,0.00015
2045,15,0.00015
2046,15,0.00015
2047,15,0.00015
2048,15,0.00015
2049,15,0.00015
2050,15,0.00015
2051,15,0.00015
2052,15,0.00015
2053,15,0.00015
2054,15,0.00015
2055,15,0.00015
2056,15,0.00015
2057,15,0.00015
2058,15,0.00015
2059,15,0.00015
2060,15,0.00015
2061,15,0.00015
2062,15,0.00015
2015,16,0.00035
2016,16,0.00035
2017,16,0.00035
2018,16,0.00035
2019,16,0.00035
2020,16,0.00035
2021,16,0.00035
2022,16,0.00035
2023,16,0.00035
2024,16,0.00035
2025,16,0.00035
2026,16,0.00035
2027,16,0.00035
2028,16,0.00035
2029,16,0.00035
2030,16,0.00035
2031,16,0.00035
2032,16,0.00035
2033,16,0.00035
2034,16,0.00035
2035,16,0.00035
2036,16,0.00035
2037,16,0.00035
2038,16,0.00035
2039,16,0.00035
2040,16,0.00035
2041,16,0.00035
2042,16,0.00035
2043,16,0.00035
2044,16,0.00035
2045,16,0.00035
2046,16,0.00035
2047,16,0.00035
2048,16,0.00035
2049,16,0.00035
2050,16,0.00035
2051,16,0.00035
2052,16,0.00035
2053,16,0.00035
2054,16,0.00035
2055,16,0.00035
2056,16,0.00035
2057,16,0.00035
2058,16,0.00035
2059,16,0.00035
2060,16,0.00035
2061,16,0.00035
2062,16,0.00035
2015,17,0.00125
2016,17,0.00125
2017,17,0.00125
2018,17,0.00125
2019,17,0.00125
2020,17,0.00125
2021,17,0.00125
2022,17,0.00125
2023,17,0.00124
