variable,param,Std.err.,t-ratio(0),Rob.std.err.,Rob.t-ratio(0)
asc_0,-0.096123309,0.026315196,-3.652768074,0.027073937,-3.5504001
asc_1,-0.251853879,0.026893273,-9.364939749,0.026951501,-9.344706818
asc_2,0.592250054,0.021781418,27.19061099,0.021664227,27.33769611
asc_3,0,NA,NA,NA,NA
b_PC1_0,-0.256274728,0.020002576,-12.81208611,0.022617941,-11.33059485
b_PC1_1,-0.236218597,0.019988504,-11.81772283,0.020272716,-11.65204464
b_PC1_2,-0.184585305,0.01495111,-12.34592629,0.014482619,-12.74529838
b_PC1_3,-0.1,NA,NA,NA,NA
b_PC2_0,-0.31491449,0.034224911,-9.201323853,0.036146676,-8.712128675
b_PC2_1,0.234834372,0.03224447,7.282934785,0.03286545,7.145326475
b_PC2_2,0.20099816,0.025692689,7.823165577,0.024949832,8.056092876
b_PC2_3,0.1,NA,NA,NA,NA
